obj 18794 2647.41016 1147.48169 56.85419   0.00000 -30.00000 0.00000
obj 18788 2676.02637 1147.48169 85.61119   0.00000 -45.50000 0.00000
obj 18791 1812.60986 2790.31494 158.75638   0.00000 0.00000 -202.50000
obj 18794 2771.14111 1828.93420 14.03255   0.00000 15.00000 90.00000
obj 18794 2771.14111 1869.43420 13.94495   0.00000 0.00000 90.00000
obj 18791 1639.51245 2735.25659 158.75638   0.00000 0.00000 -112.60000
obj 18788 2704.06445 1147.48169 114.13349   0.00000 -45.50000 0.00000
obj 18796 2771.14111 1908.72668 23.93715   0.00000 -10.00000 90.00000
obj 18788 2771.14111 1948.46252 26.11086   0.00000 0.00000 90.00000
obj 18791 1867.71191 2735.20508 158.75638   0.00000 0.00000 -247.50000
obj 18794 2911.98438 1147.48169 188.15948   0.00000 15.00000 0.00000
obj 18788 2952.48438 1147.48169 188.07738   0.00000 0.00000 0.00000
obj 18788 2732.10254 1147.48169 142.65579   0.00000 -45.50000 0.00000
obj 18796 2760.49268 1147.48169 170.69389   0.00000 -40.00000 0.00000
obj 18788 2771.14111 1988.46252 26.11086   0.00000 0.00000 90.00000
obj 18796 2794.62866 1147.48169 191.00189   0.00000 -21.50000 0.00000
obj 18788 2771.14111 2028.46252 26.11086   0.00000 0.00000 90.00000
obj 18788 2771.14111 2068.46240 26.11086   0.00000 0.00000 90.00000
obj 18788 1875.46106 2676.23608 158.19548   0.00000 0.00000 -90.00000
obj 18794 2771.14111 2108.43408 26.11086   0.00000 0.00000 90.00000
obj 18794 2771.14111 2147.63354 36.51366   0.00000 -15.00000 90.00000
obj 18796 2771.14111 2183.44556 55.37506   0.00000 -22.00000 90.00000
obj 18796 2771.14111 2222.13159 64.66246   0.00000 -5.00000 90.00000
obj 18796 2771.14111 2261.97363 62.94156   0.00000 10.00000 90.00000
obj 18796 996.29266 2878.12769 99.69168   0.00000 -25.00000 0.00000
obj 18796 2833.39673 1147.48169 199.93990   0.00000 -4.50000 0.00000
obj 18796 1034.29272 2878.12769 111.67838   0.00000 -10.00000 0.00000
obj 18791 2763.36865 2552.24780 32.91396   0.00000 0.00000 -247.50000
obj 18788 1074.02844 2878.12769 113.85188   0.00000 0.00000 0.00000
obj 18796 2771.14111 2299.93774 50.79056   0.00000 25.50000 90.00000
obj 18794 2771.14111 2334.68384 31.03066   0.00000 30.00000 90.00000
obj 18794 2771.14111 2373.79565 20.27346   0.00000 15.00000 90.00000
obj 18794 2771.14111 2414.29565 20.18716   0.00000 0.00000 90.00000
obj 18796 2771.14111 2453.58813 30.17936   0.00000 -10.00000 90.00000
